onetsoccode,Image_Generation_AIOE,Language_Modeling_AIOE
13-1199.05,1.0908788511680299,1.0922052290637256
13-1199.06,1.1064291717487604,1.3443426377531058
13-1199.06,1.1064291717487604,1.2868596964875887
13-1199.06,1.1064291717487604,1.0922052290637256
13-2011.00,1.4437065588804774,1.1509743700025192
13-2023.00,1.084385411922279,0.5691429969740112
13-2031.00,1.1943893322605683,1.2355091360708896
13-2041.00,1.1415235607341443,1.1470360931538577
13-2052.00,0.8732702448018501,1.2916120701293414
13-2053.00,1.0985138099589689,1.1970531280085477
13-2061.00,1.1461149966181137,1.3493684318764831
13-2071.00,0.6303671655343247,1.331766830811028
13-2072.00,0.22549686678017605,1.2834509476738958
13-2081.00,0.9058551035289725,1.1573993233022202
13-2082.00,0.9144655751119467,1.0385229366645192
13-2099.01,0.8584339425845364,1.17296242650823
13-2099.01,0.8584339425845364,1.296256989392302
13-2099.04,0.9081504180097945,1.17296242650823
13-2099.04,0.9081504180097945,1.296256989392302
15-1211.00,1.4425662902526202,0.8604172762938648
15-1211.00,1.4425662902526202,1.0652240654212297
15-1211.01,1.2615254309834067,0.8604172762938648
15-1211.01,1.2615254309834067,1.0652240654212297
15-1212.00,1.4719132930289744,0.9771383099845946
15-1221.00,1.4926740647377565,0.8997315925059343
15-1231.00,0.8932620150932483,0.5843290901216516
15-1232.00,0.3234336674239507,0.4556874307231511
15-1241.00,1.3501790423787592,0.7734727236836332
15-1241.00,1.3501790423787592,0.2824202837158738
15-1241.01,0.4442754790244088,0.7734727236836332
15-1241.01,0.4442754790244088,0.2824202837158738
15-1242.00,1.704749572802455,1.0262809086817772
15-1243.00,1.5692365802096084,0.9990982930925623
15-1243.00,1.5692365802096084,1.135221918220471
15-1243.01,1.5238636233974907,0.9990982930925623
15-1243.01,1.5238636233974907,1.135221918220471
15-1244.00,1.340917917353207,0.4004357529633236
15-1251.00,1.5347067134551364,0.9569075207319238
15-1253.00,1.1584374832539803,1.028378282799914
15-1254.00,1.6245713716803325,0.7180962361927956
15-1255.01,1.8369197306450713,0.7139642093847143
15-1299.01,1.4087382402387574,0.8986957433149898
15-1299.01,1.4087382402387574,0.7031109464320071
15-1299.01,1.4087382402387574,1.001116683693956
15-1299.01,1.4087382402387574,1.0181940957408038
15-1299.01,1.4087382402387574,1.271334318053643
15-1299.02,1.6478040026206913,0.8986957433149898
15-1299.02,1.6478040026206913,0.7031109464320071
15-1299.02,1.6478040026206913,1.001116683693956
15-1299.02,1.6478040026206913,1.0181940957408038
15-1299.02,1.6478040026206913,1.271334318053643
15-1299.03,1.3917281467505536,0.8986957433149898
15-1299.03,1.3917281467505536,0.7031109464320071
15-1299.03,1.3917281467505536,1.001116683693956
15-1299.03,1.3917281467505536,1.0181940957408038
15-1299.03,1.3917281467505536,1.271334318053643
15-1299.08,1.5503398498293237,0.8986957433149898
15-1299.08,1.5503398498293237,0.7031109464320071
15-1299.08,1.5503398498293237,1.001116683693956
15-1299.08,1.5503398498293237,1.0181940957408038
15-1299.08,1.5503398498293237,1.271334318053643
15-1299.09,1.5165483874129582,0.8986957433149898
15-1299.09,1.5165483874129582,0.7031109464320071
15-1299.09,1.5165483874129582,1.001116683693956
15-1299.09,1.5165483874129582,1.0181940957408038
15-1299.09,1.5165483874129582,1.271334318053643
15-2011.00,1.2572828003923886,1.1937952124479392
15-2021.00,1.6460159680717787,1.1391489251278353
15-2031.00,1.3992181876568885,1.1683656564421128
15-2041.00,1.317365113612071,1.1251521135468905
15-2041.00,1.317365113612071,1.2889524488322812
15-2041.01,1.207428832068255,1.1251521135468905
15-2041.01,1.207428832068255,1.2889524488322812
15-2051.01,1.1022042973394355,1.469932021871245
15-2051.01,1.1022042973394355,1.3092704124884482
15-2051.02,1.2803082076558512,1.469932021871245
15-2051.02,1.2803082076558512,1.3092704124884482
15-2099.01,1.832216115973548,1.0680692648841281
17-1011.00,2.159554947948712,0.6211250887124351
17-1012.00,1.7210036218647553,0.8127241547701481
17-1021.00,1.5596795061282553,0.39776867951800876
17-1022.00,0.5886761724786677,-0.35951614943129273
17-1022.00,0.5886761724786677,0.13648939931373022
17-1022.01,1.1116767197333397,-0.35951614943129273
17-1022.01,1.1116767197333397,0.13648939931373022
17-2011.00,1.5724027559303266,1.0501592333398202
17-2021.00,1.288458058664445,0.6176154736006054
17-2031.00,1.5136525711692332,0.6624441380911632
17-2041.00,2.1070125842012852,0.8367571194531821
17-2051.00,1.8742989628222073,0.9094803497102814
17-2051.00,1.8742989628222073,0.9763090199065483
17-2051.00,1.8742989628222073,0.9935093680804701
17-2051.01,1.7295915253574168,0.9094803497102814
17-2051.01,1.7295915253574168,0.9763090199065483
17-2051.01,1.7295915253574168,0.9935093680804701
17-2051.02,1.9456766128190377,0.9094803497102814
17-2051.02,1.9456766128190377,0.9763090199065483
17-2051.02,1.9456766128190377,0.9935093680804701
17-2061.00,1.5656921066047123,0.8582908889643849
17-2071.00,1.3608473470420466,0.8063041120448523
17-2072.00,1.2655928610715557,0.3479465557459867
17-2072.00,1.2655928610715557,0.6282399849611223
17-2072.01,0.7553201534001776,0.3479465557459867
